"","str34","N"
"1"," aa",4
"2"," ab",9
"3"," ac",50
"4"," ad",44
"5"," ae",6
"6"," af",18
"7"," ag",27
"8"," ah",9
"9"," ai",45
"10"," ak",30
"11"," al",59
"12"," am",54
"13"," an",106
"14"," ao",4
"15"," ap",42
"16"," ar",118
"17"," as",63
"18"," at",69
"19"," au",16
"20"," av",27
"21"," aw",27
"22"," ax",3
"23"," ay",20
"24"," az",16
"25"," ba",31
"26"," bb",28
"27"," be",67
"28"," bi",26
"29"," bk",1
"30"," bl",15
"31"," bo",28
"32"," br",13
"33"," bs",1
"34"," bt",1
"35"," bu",16
"36"," by",4
"37"," ca",33
"38"," cc",11
"39"," ce",51
"40"," ch",32
"41"," ci",13
"42"," ck",78
"43"," cl",5
"44"," co",22
"45"," cr",10
"46"," ct",12
"47"," cu",19
"48"," da",23
"49"," dd",27
"50"," de",95
"51"," dg",27
"52"," dh",4
"53"," di",38
"54"," dj",3
"55"," dk",1
"56"," dl",11
"57"," do",25
"58"," dr",12
"59"," ds",4
"60"," dt",1
"61"," du",11
"62"," dy",1
"63"," dz",2
"64"," ea",74
"65"," eb",9
"66"," ec",19
"67"," ed",27
"68"," ee",81
"69"," ef",12
"70"," eg",8
"71"," eh",2
"72"," ei",12
"73"," ek",11
"74"," el",47
"75"," em",19
"76"," en",52
"77"," eo",6
"78"," ep",25
"79"," er",63
"80"," es",30
"81"," et",28
"82"," eu",10
"83"," ev",10
"84"," ew",22
"85"," ex",1
"86"," ey",10
"87"," ez",2
"88"," fa",6
"89"," fe",22
"90"," ff",45
"91"," fi",17
"92"," fl",2
"93"," fo",3
"94"," fr",2
"95"," ft",25
"96"," fu",4
"97"," ga",36
"98"," gb",1
"99"," ge",57
"100"," gg",33
"101"," gh",21
"102"," gi",29
"103"," gl",10
"104"," gm",6
"105"," gn",5
"106"," go",26
"107"," gr",4
"108"," gs",1
"109"," gu",24
"110"," ha",13
"111"," he",17
"112"," hi",6
"113"," hl",4
"114"," hm",1
"115"," hn",2
"116"," ho",15
"117"," hr",5
"118"," ht",1
"119"," hu",4
"120"," hw",1
"121"," hy",1
"122"," ia",29
"123"," ib",8
"124"," ic",45
"125"," id",37
"126"," ie",57
"127"," if",28
"128"," ig",25
"129"," ii",1
"130"," ik",10
"131"," il",83
"132"," im",38
"133"," in",140
"134"," io",20
"135"," ip",27
"136"," ir",64
"137"," is",53
"138"," it",67
"139"," iu",4
"140"," iv",17
"141"," ix",1
"142"," iy",2
"143"," iz",7
"144"," ja",7
"145"," je",4
"146"," ji",5
"147"," jj",1
"148"," jo",7
"149"," jr",1
"150"," ju",1
"151"," ka",9
"152"," ke",111
"153"," kf",1
"154"," kh",2
"155"," ki",12
"156"," kk",5
"157"," kl",2
"158"," ko",6
"159"," kr",2
"160"," ku",6
"161"," ky",2
"162"," la",63
"163"," lb",4
"164"," lc",15
"165"," ld",23
"166"," le",129
"167"," lf",12
"168"," lg",6
"169"," li",44
"170"," lk",24
"171"," ll",116
"172"," lm",17
"173"," ln",1
"174"," lo",48
"175"," lp",17
"176"," ls",8
"177"," lt",45
"178"," lu",16
"179"," lv",14
"180"," ly",6
"181"," lz",1
"182"," ma",50
"183"," mb",37
"184"," me",98
"185"," mf",2
"186"," mh",1
"187"," mi",36
"188"," mk",2
"189"," ml",1
"190"," mm",30
"191"," mn",3
"192"," mo",21
"193"," mp",55
"194"," mt",1
"195"," mu",12
"196"," my",3
"197"," mz",1
"198"," na",50
"199"," nc",46
"200"," nd",58
"201"," ne",119
"202"," ng",81
"203"," nh",1
"204"," ni",45
"205"," nj",5
"206"," nk",54
"207"," nl",3
"208"," nn",48
"209"," no",32
"210"," nr",3
"211"," ns",19
"212"," nt",68
"213"," nu",18
"214"," ny",3
"215"," nz",6
"216"," oa",22
"217"," ob",15
"218"," oc",22
"219"," od",28
"220"," oe",24
"221"," of",15
"222"," og",17
"223"," oh",3
"224"," oi",25
"225"," oj",3
"226"," ok",32
"227"," ol",44
"228"," om",32
"229"," on",74
"230"," oo",54
"231"," op",36
"232"," or",50
"233"," os",38
"234"," ot",59
"235"," ou",33
"236"," ov",10
"237"," ow",41
"238"," ox",3
"239"," oy",6
"240"," oz",10
"241"," pa",26
"242"," pe",95
"243"," ph",16
"244"," pi",30
"245"," pj",1
"246"," pl",11
"247"," po",23
"248"," pp",32
"249"," pr",3
"250"," ps",7
"251"," pt",5
"252"," pu",6
"253"," qi",1
"254"," qu",7
"255"," ra",79
"256"," rb",19
"257"," rc",24
"258"," rd",43
"259"," re",141
"260"," rf",9
"261"," rg",30
"262"," ri",70
"263"," rk",46
"264"," rl",34
"265"," rm",28
"266"," rn",40
"267"," ro",50
"268"," rp",13
"269"," rq",1
"270"," rr",49
"271"," rs",42
"272"," rt",56
"273"," ru",29
"274"," rv",14
"275"," ry",2
"276"," rz",3
"277"," sa",17
"278"," sb",2
"279"," sc",7
"280"," sd",1
"281"," se",96
"282"," sh",21
"283"," si",25
"284"," sk",25
"285"," sl",3
"286"," sm",3
"287"," sn",1
"288"," so",16
"289"," sp",10
"290"," ss",38
"291"," st",82
"292"," su",7
"293"," ta",47
"294"," tb",1
"295"," tc",30
"296"," td",1
"297"," te",133
"298"," tg",1
"299"," th",36
"300"," ti",41
"301"," tk",1
"302"," tl",11
"303"," to",33
"304"," tr",19
"305"," ts",9
"306"," tt",65
"307"," tu",14
"308"," tw",1
"309"," ty",3
"310"," tz",4
"311"," ua",12
"312"," ub",16
"313"," uc",25
"314"," ud",22
"315"," ue",30
"316"," uf",11
"317"," ug",30
"318"," ui",12
"319"," uj",1
"320"," uk",11
"321"," ul",42
"322"," um",41
"323"," un",50
"324"," uo",4
"325"," up",17
"326"," ur",46
"327"," us",35
"328"," ut",43
"329"," uv",2
"330"," uy",2
"331"," uz",4
"332"," va",20
"333"," ve",104
"334"," vi",25
"335"," vo",12
"336"," vr",1
"337"," vu",3
"338"," vv",4
"339"," wa",18
"340"," wd",6
"341"," we",66
"342"," wf",2
"343"," wi",13
"344"," wk",7
"345"," wl",15
"346"," wn",13
"347"," wo",2
"348"," wp",2
"349"," wr",2
"350"," ws",7
"351"," wt",6
"352"," xa",5
"353"," xe",57
"354"," xi",17
"355"," xl",1
"356"," xm",1
"357"," xo",3
"358"," xt",6
"359"," xu",3
"360"," xy",1
"361"," ya",13
"362"," yb",2
"363"," yc",1
"364"," yd",2
"365"," ye",42
"366"," yi",4
"367"," yl",24
"368"," ym",8
"369"," yo",12
"370"," yp",5
"371"," ys",5
"372"," yt",3
"373"," yu",2
"374"," za",6
"375"," ze",47
"376"," zi",9
"377"," zm",1
"378"," zo",10
"379"," zy",1
"380"," zz",13
